Song,Artist,Genres,Album,Release_Date,Duration_ms,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Kinda Like It Now,MOD SUN,"['indie pop rap', 'minnesota hip hop']",Kinda Like It Now,2020-01-16,151786,41,0.657,0.605,7,-5.77,1,0.0302,0.021,0.0,0.233,0.29,132.972
The Kind of Love We Make,Luke Combs,"['contemporary country', 'country']",The Kind of Love We Make,2022-06-17,224426,79,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025
Kinfolks,Sam Hunt,"['contemporary country', 'country', 'country pop']",Kinfolks,2019-10-10,181933,57,0.565,0.805,0,-4.457,1,0.0489,0.0808,0.0,0.173,0.869,76.04
King Kunta,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",To Pimp A Butterfly,2015-03-16,234693,76,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059
Kiss Me More (feat. SZA),Doja Cat,"['dance pop', 'pop']",Kiss Me More (feat. SZA),2021-04-09,208866,80,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968
Knife Talk (with 21 Savage ft. Project Pat),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Certified Lover Boy,2021-09-03,242965,83,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887
Knock Knock,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",Knock Knock - Single,2010,202806,60,0.667,0.922,4,-4.857,0,0.128,0.0353,0.0,0.364,0.509,108.952
Kokomo,The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",Greatest Hits,2012-01-01,215573,28,0.684,0.643,0,-10.252,1,0.0329,0.0107,0.0,0.292,0.922,115.571
Kool Aid & Frozen Pizza,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",K.I.D.S.,2010-08-13,157540,61,0.657,0.845,11,-4.57,1,0.3,0.154,0.0,0.294,0.706,89.835
Ladies And Gentlemen,Saliva,"['alternative metal', 'nu metal', 'rap metal']",Blood Stained Love Story,2007-01-01,217240,60,0.459,0.908,6,-4.937,1,0.046,0.000101,0.202,0.145,0.495,80.093
Ladies Love Country Boys,Trace Adkins,"['contemporary country', 'country', 'country road']",Dangerous Man,2006-01-01,221413,61,0.661,0.959,7,-4.439,1,0.0408,0.0539,1.74e-05,0.381,0.96,116.284
Lady Killers (feat. Hoodie Allen),G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",Must Be Nice,2012-09-26,249400,54,0.394,0.771,3,-6.873,1,0.29,0.00193,0.0,0.114,0.548,145.947
Lady May,Tyler Childers,"['kentucky indie', 'kentucky roots', 'outlaw country']",Purgatory,2017-08-04,183533,78,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446
Last Night,Morgan Wallen,['contemporary country'],3 Songs At A Time Sampler,2023-01-31,163854,90,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853
The Last Of The Real Ones,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",MANIA,2018-01-19,230400,57,0.579,0.872,8,-5.294,1,0.0443,0.00594,0.0,0.192,0.557,115.043
Last Resort,Papa Roach,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']",Infest,2001-04-25,199906,82,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598
Lay It All on Me (feat. Ed Sheeran),Rudimental,"['pop dance', 'tropical house', 'uk dance', 'uk funky']",We the Generation,2015-10-02,242440,58,0.669,0.747,6,-7.108,1,0.0428,0.141,0.0,0.185,0.483,122.531
Lean On,Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",Peace Is The Mission (Extended),2015-11-27,176561,75,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007
Learned It From The Radio,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",Tangled Up,2015-01-01,221960,24,0.661,0.687,7,-6.552,1,0.0287,0.00823,0.0,0.308,0.665,123.028
Learn From It,Conner Smith,['modern country pop'],Learn From It,2021-06-25,179173,48,0.599,0.899,4,-3.574,1,0.0492,0.129,0.0,0.333,0.792,91.036
Leave Before You Love Me (with Jonas Brothers),Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",Leave Before You Love Me,2021-05-21,154983,84,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976
Led,GOTOU寄生獣,[],Led,2019-08-10,134443,2,0.629,0.667,1,-7.345,1,0.0459,0.00118,0.0,0.133,0.0965,99.947
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,['pop'],"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08,174800,77,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07
Let's Get It On,Marvin Gaye,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']",Let's Get It On (Deluxe Edition),1973-08-28,290933,69,0.539,0.599,3,-10.638,1,0.0483,0.0375,0.0,0.0754,0.636,167.7
Let's Get Ridiculous,Redfoo,[],Let's Get Ridiculous,2013-01-01,215573,54,0.654,0.938,5,-0.451,0,0.0721,0.149,0.0,0.0747,0.666,127.994
Let's Groove,"Earth, Wind & Fire","['disco', 'funk', 'jazz funk', 'soul']",Raise!,1981-11-14,339320,77,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035
Let the Moonshine,Luke Combs,"['contemporary country', 'country']",The Way She Rides,2016-11-04,209266,56,0.491,0.834,6,-5.101,1,0.0341,0.0735,6.42e-06,0.0953,0.561,161.788
Levels - Original Version,Avicii,"['edm', 'pop', 'pop dance']",Levels,2011-10-28,338861,0,0.624,0.837,1,-6.533,0,0.0356,0.0368,0.851,0.311,0.376,126.021
Levitating,Dua Lipa,"['dance pop', 'pop', 'uk pop']",100 Greatest 2020 Songs,2020-12-18,203807,25,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014
Life Ain't Easy,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",On And On And Beyond,2011-03-29,161394,34,0.661,0.722,11,-5.735,0,0.0818,0.0366,0.0,0.302,0.691,94.507
Life Goes On,Oliver Tree,['alternative hip hop'],"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",2021-05-28,161803,77,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982
Lifelines,I Prevail,"['alternative metal', 'nu-metalcore']",Lifelines,2016-10-21,201480,61,0.503,0.94,1,-4.66,0,0.0475,0.00045,0.000536,0.217,0.532,160.03
Life's Too Short,Two Friends,[],Life's Too Short,2021-12-03,211010,64,0.648,0.795,0,-5.67,1,0.0433,0.0275,0.0,0.113,0.364,100.032
Lift Your Head Weary Sinner (Chains),Crowder,"['ccm', 'christian alternative rock', 'christian music', 'worship']",Neon Steeple,2014-01-01,224666,53,0.556,0.818,4,-6.698,0,0.0363,0.331,6.92e-06,0.498,0.403,143.988
Like A Wrecking Ball,Eric Church,"['contemporary country', 'country', 'country road']",The Outsiders,2014-01-01,198906,64,0.693,0.335,0,-10.863,1,0.0395,0.338,0.000552,0.118,0.623,136.071
Lil Bit,Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",Lil Bit,2020-10-23,195962,70,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987
Lions in the Wild,Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",Lions in the Wild,2016-05-27,211889,55,0.504,0.847,7,-6.81,0,0.0442,0.00434,0.0,0.816,0.28,127.854
Little Lion Man,Mumford & Sons,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",Sigh No More,2009-10-02,246973,7,0.517,0.481,5,-8.273,1,0.0272,0.0293,1.79e-05,0.0903,0.461,138.51
A Little More Summertime,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",They Don't Know,2016-10-07,219546,31,0.482,0.823,9,-4.446,1,0.0661,0.0386,3.69e-05,0.0948,0.451,167.665
Little Rain,Morgan Wallen,['contemporary country'],If I Know Me,2018-04-27,207173,64,0.491,0.835,1,-4.272,1,0.0464,0.184,0.0,0.119,0.711,185.956
Live Free,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",On And On And Beyond,2011-03-29,193525,44,0.475,0.667,8,-8.639,0,0.425,0.473,0.0,0.398,0.703,184.999
Livin' The Dream,Drake White,[],Spark,2016-08-19,187826,52,0.603,0.862,8,-4.461,1,0.0429,0.0153,0.0,0.115,0.396,98.075
Livin’ The Dream,Morgan Wallen,['contemporary country'],Dangerous: The Double Album (Bonus),2021-01-29,239120,51,0.621,0.753,7,-5.904,0,0.0271,0.581,0.00605,0.215,0.438,127.035
Lookin' Out My Back Door,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",Cosmo's Factory (40th Anniversary Edition),1970-07-25,152453,0,0.745,0.656,10,-6.393,1,0.0405,0.188,0.00337,0.0941,0.858,105.318
Look What God Gave Her,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",Look What God Gave Her,2019-03-01,168214,0,0.732,0.847,2,-3.921,1,0.0307,0.0221,0.0,0.246,0.885,113.012
Lose Yourself,Eminem,"['detroit hip hop', 'hip hop', 'rap']",SHADYXV,2014-11-24,320626,75,0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403
Loud and Heavy,Cody Jinks,"['classic texas country', 'modern southern rock', 'outlaw country']",Adobe Sessions,2015-01-12,229927,0,0.502,0.685,0,-5.847,0,0.0283,0.000531,1.61e-06,0.0923,0.574,81.978
Love Drunk,Boys Like Girls,"['neon pop punk', 'pop punk']",Love Drunk,2009-09-07,226706,64,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005
Love Me Harder,Ariana Grande,['pop'],The Highlights,2021-02-05,236041,57,0.468,0.707,1,-4.39,0,0.0327,0.0103,0.0,0.0766,0.221,99.083
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",Best Love Ballads,2020-02-12,252534,10,0.475,0.606,8,-6.646,1,0.0346,0.247,0.0,0.125,0.282,94.994
Love Myself,Hailee Steinfeld,['pop'],HAIZ,2016-02-26,218773,72,0.617,0.759,0,-6.785,0,0.0678,0.0026,0.0,0.419,0.324,122.924
Love Story,Taylor Swift,['pop'],Fearless,2008-11-11,235266,71,0.618,0.741,2,-3.95,1,0.031,0.17,0.0,0.0822,0.296,118.984
Love Tonight (David Guetta Remix Edit),Shouse,['aussietronica'],Love Tonight (David Guetta Remix),2021-06-11,158095,80,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002
Love You Like I Used To,Russell Dickerson,"['contemporary country', 'country', 'country road', 'modern country rock']",Love You Like I Used To,2020-02-11,186613,58,0.501,0.788,10,-4.624,1,0.0415,0.12,0.0,0.137,0.61,152.047
Love Yourself,Justin Bieber,"['canadian pop', 'pop']",Pop Kings,2021-08-20,232626,0,0.759,0.401,4,-8.999,1,0.259,0.86,0.0,0.299,0.576,100.126
Lovin' On You,Luke Combs,"['contemporary country', 'country']",What You See Is What You Get,2019-11-08,194866,71,0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974
LRAD,Knife Party,"['australian dance', 'brostep', 'complextro', 'edm', 'electro house', 'moombahton', 'pop dance']",Haunted House,2013-05-06,315140,47,0.755,0.889,5,-2.587,0,0.0627,0.00188,0.863,0.047,0.186,127.999
Lucky You (feat. Joyner Lucas),Eminem,"['detroit hip hop', 'hip hop', 'rap']",Kamikaze,2018-08-31,244679,75,0.876,0.786,10,-4.884,0,0.306,0.0627,0.0,0.127,0.575,153.068
Made For You,Jake Owen,"['contemporary country', 'country', 'country road']",Greetings From...Jake,2019-03-29,238400,68,0.581,0.441,1,-6.829,1,0.0268,0.77,2.75e-05,0.111,0.337,82.125
Magic In The Hamptons (feat. Lil Yachty),Social House,[],Magic In The Hamptons (feat. Lil Yachty),2018-06-08,164640,74,0.769,0.479,1,-5.339,1,0.0385,0.66,0.0,0.0914,0.803,96.051
Make Me Wanna,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",It Goes Like This,2013-10-29,226600,0,0.542,0.822,9,-6.376,1,0.056,0.0382,0.0,0.106,0.633,109.024
Make You Mine,High Valley,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country road', 'modern country rock']",Dear Life,2016-11-18,211613,54,0.576,0.892,0,-4.178,1,0.0392,0.12,0.0,0.131,0.522,123.074
Makin’ Me Look Good Again,Drake White,[],Spark,2016-08-19,238933,58,0.574,0.586,10,-6.141,1,0.0337,0.354,0.0,0.106,0.26,127.795
Mama,Jonas Blue,"['pop', 'pop dance', 'uk dance']",Mama,2017-05-05,184133,61,0.737,0.792,11,-4.117,0,0.0416,0.102,0.0,0.0532,0.543,104.012
Mama Said,Lukas Graham,"['danish pop', 'scandipop']",Lukas Graham,2016-04-01,206902,68,0.712,0.799,7,-4.564,0,0.0703,0.0447,6.4e-05,0.37,0.591,83.996
Mamma Mia,ABBA,"['europop', 'swedish pop']",Abba,1975,213266,79,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547
A Man Without Love,Engelbert Humperdinck,['adult standards'],A Man Without Love,1968-08-03,203133,72,0.538,0.467,2,-9.589,1,0.0327,0.637,0.0,0.115,0.507,111.766
Marlboro Nights,Lonely God,['modern indie pop'],Marlboro Nights,2018-06-28,68522,76,0.466,0.823,2,-6.635,1,0.311,0.00237,0.000321,0.332,0.782,175.797
Marsh,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Music To Be Murdered By,2020-01-17,200573,57,0.871,0.493,1,-6.356,1,0.205,0.0134,0.000241,0.385,0.0495,144.989
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,"['pop', 'viral pop']",Nine Track Mind,2016-01-29,190453,61,0.795,0.616,1,-5.281,0,0.06,0.417,0.0,0.349,0.815,110.015
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,"['dance pop', 'pop']",All Your Fault: Pt. 2,2017-08-11,163870,75,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084
Meet Me At Our Spot,THE ANXIETY,['modern alternative pop'],THE ANXIETY,2020-03-13,162680,78,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995
"Me, Myself & I",G-Eazy,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",When It's Dark Out,2015-12-04,251466,78,0.756,0.674,0,-6.518,0,0.0959,0.0184,0.0,0.158,0.389,111.995
Mercy,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",Illuminate (Deluxe),2017-04-20,208733,82,0.555,0.662,11,-4.952,0,0.0827,0.125,0.0,0.111,0.356,148.128
The Middle,Zedd,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",Ultimate Top Hits -,2020-09-25,184732,14,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013
The Middle,Zedd,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",The Middle,2018-01-23,184732,81,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01
Midnight Special,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",Willy And The Poor Boys (Expanded Edition),1969-11-02,253866,66,0.763,0.462,2,-9.432,1,0.105,0.661,0.0,0.112,0.672,124.491
Millionaire,Chris Stapleton,"['contemporary country', 'outlaw country']",From A Room: Volume 2,2017-12-01,210133,73,0.616,0.474,10,-9.608,1,0.0266,0.192,0.00762,0.0989,0.493,142.689
Mind Your Manners (feat. Icona Pop),Chiddy Bang,"['indie pop rap', 'philly rap', 'pop rap']",Breakfast,2010-09-13,196653,48,0.696,0.853,2,-4.122,1,0.237,0.00399,0.0,0.0843,0.685,92.976
Mine,Taylor Swift,['pop'],Speak Now,2010-10-25,230706,69,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07
Misery,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",California (Deluxe Edition),2017-05-19,231986,52,0.463,0.949,7,-3.092,1,0.0978,0.00814,1.3e-05,0.601,0.577,162.02
Missed Calls,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",Blue Slide Park,2011-11-08,178902,61,0.558,0.535,5,-10.37,1,0.163,0.643,0.0,0.101,0.464,169.859
Missin' You Crazy,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",Write You A Song,2014-01-01,198613,49,0.61,0.867,4,-3.677,1,0.0332,0.0477,0.0,0.14,0.742,117.009
Modern Love,Coasts,"['hopebeat', 'indie anthem-folk', 'indie poptimism', 'indie surf', 'shimmer pop']",Coasts,2015-09-04,236540,23,0.498,0.906,3,-4.578,1,0.0577,0.00149,0.0,0.157,0.311,127.945
Money for Nothing,Dire Straits,"['album rock', 'classic rock', 'mellow gold', 'rock']",Brothers in Arms,1985-05-13,506400,66,0.667,0.655,2,-9.339,0,0.0367,0.0491,0.000894,0.0641,0.657,134.212
MONTERO (Call Me By Your Name),Lil Nas X,['lgbtq+ hip hop'],MONTERO (Call Me By Your Name),2021-03-26,137875,8,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818
Mood (feat. iann dior),24kGoldn,['cali rap'],Mood (feat. iann dior),2020-07-24,140525,11,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989
More Than My Hometown,Morgan Wallen,['contemporary country'],More Than My Hometown,2020-04-17,216573,0,0.621,0.882,6,-5.01,1,0.0459,0.601,0.0,0.132,0.574,126.014
Mount Everest,Labrinth,"['indie poptimism', 'pop']",Imagination & the Misfit Kid,2019-11-22,157497,83,0.494,0.428,0,-7.239,0,0.205,0.236,0.0698,0.0816,0.44,87.724
Move Along,The All-American Rejects,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",Move Along,2005-01-01,238880,62,0.526,0.92,3,-3.866,1,0.0472,0.000124,0.0,0.371,0.615,109.86
Mr. Brightside,The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",Hot Fuss,2004,222973,86,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033
Must Be Doin' Somethin' Right,Billy Currington,"['contemporary country', 'country', 'country road']",Best Of,2011-01-01,269666,48,0.485,0.629,9,-3.967,1,0.0263,0.187,0.0,0.0516,0.426,167.733
My Body,Young the Giant,"['indietronica', 'modern alternative rock', 'modern rock', 'pov: indie', 'stomp and holler']",Young The Giant (Special Edition),2011,244400,60,0.488,0.909,10,-6.591,1,0.0929,0.0011,1.02e-05,0.456,0.643,129.774
My Boy,Elvie Shane,['modern country pop'],My Boy,2020-06-05,203381,0,0.686,0.566,9,-5.977,1,0.0423,0.254,0.0,0.11,0.542,146.042
My Boy - My Girl Version,Elvie Shane,['modern country pop'],My Boy (My Girl Version),2020-12-18,206409,50,0.695,0.673,9,-5.876,1,0.112,0.615,0.0,0.121,0.716,144.122
my ex's best friend (with blackbear),Machine Gun Kelly,"['ohio hip hop', 'pop rap']",Tickets To My Downfall,2020-09-25,139460,77,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939
My Girl,Dylan Scott,"['contemporary country', 'country', 'country road', 'modern country rock']",Dylan Scott (Deluxe Edition),2017-08-04,197640,69,0.652,0.719,1,-7.251,1,0.033,0.0353,0.0,0.108,0.24,94.969
My Girl,The Temptations,"['memphis soul', 'motown', 'soul']",The Temptations Sing Smokey,1965-03-22,165000,80,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566
My Kinda Party,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",My Kinda Party,2010-11-02,284960,44,0.413,0.891,0,-4.235,0,0.0656,0.0207,2.24e-06,0.319,0.555,176.986
My Mother Told Me - Vikings Anthem,L.B. One,[],My Mother Told Me,2020-05-29,197250,56,0.65,0.971,5,-4.088,0,0.209,0.00656,0.0327,0.258,0.2,139.97
My Name Is,Eminem,"['detroit hip hop', 'hip hop', 'rap']",The Slim Shady LP,1999-02-23,268400,77,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519
My Oh My (feat. DaBaby),Camila Cabello,"['dance pop', 'pop']",Romance,2019-12-06,170746,75,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",Save Rock And Roll,2013-01-01,186826,75,0.558,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.567,151.99
My Type,Saint Motel,"['la indie', 'modern alternative rock', 'modern rock', 'pov: indie']",My Type,2014-06-17,206393,67,0.596,0.897,10,-2.94,1,0.0462,0.0641,5.24e-05,0.0628,0.578,118.0
Natural,Imagine Dragons,"['modern rock', 'pop', 'rock']",Origins (Deluxe),2018-11-09,189466,82,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0
Neon Eyes,Morgan Wallen,['contemporary country'],Dangerous: The Double Album (Bonus),2021-01-29,226146,53,0.576,0.843,11,-5.26,0,0.029,0.0214,8.04e-05,0.157,0.628,126.009
Never Be Like You (feat. Kai),Flume,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",Skin,2016-05-27,234909,69,0.444,0.557,0,-5.476,1,0.0602,0.453,0.0,0.152,0.296,115.058
Never Be the Same - Radio Edit,Camila Cabello,"['dance pop', 'pop']",Camila,2018-01-12,227240,47,0.627,0.693,0,-4.382,1,0.0856,0.158,0.000102,0.115,0.245,129.801
New Americana,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",BADLANDS,2015-08-28,183808,64,0.339,0.707,0,-5.121,0,0.0428,0.0113,0.0,0.337,0.359,173.993
Nightcall,Kavinsky,['filter house'],Nightcall,2010,258413,74,0.532,0.874,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038
The Nights,Avicii,"['edm', 'pop', 'pop dance']",The Days / Nights,2014-01-01,176658,87,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983
Night Shift,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",California Sunrise,2016-05-13,172253,77,0.63,0.754,2,-3.564,1,0.0284,0.0963,0.0,0.268,0.73,95.999
Nightstand,Justus Bennetts,['gen z singer-songwriter'],Nightstand,2021-04-06,161746,54,0.669,0.648,5,-4.66,1,0.067,0.34,0.0,0.314,0.616,80.974
Nobody But You (Duet with Gwen Stefani),Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",Fully Loaded: God's Country,2019-12-13,194866,67,0.463,0.653,0,-5.515,1,0.0273,0.111,0.000136,0.172,0.233,143.912
No Interruption,Hoodie Allen,['indie pop rap'],All American,2012-04-10,215240,60,0.497,0.706,1,-6.455,1,0.0667,0.227,0.0,0.224,0.55,103.0
No More Trouble,Shamanic Dub,['reggae cover'],"Vintage Reggae Café, Vol. 7",2018-05-25,227994,31,0.746,0.49,9,-10.175,0,0.0436,0.213,0.0123,0.0569,0.737,142.21
No Role Modelz,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2014 Forest Hills Drive,2014-12-09,292799,90,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028
No Roots,Alice Merton,[],No Roots,2017-08-04,235813,56,0.863,0.657,7,-7.295,1,0.105,0.264,0.00619,0.0713,0.829,115.958
No Sleep,Wiz Khalifa,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Rolling Papers,2011-03-29,191320,66,0.653,0.711,9,-6.454,1,0.0623,0.109,0.0,0.443,0.769,160.048
Not Afraid,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Recovery,2010-06-18,248133,81,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635
Not Alike (feat. Royce Da 5'9),Eminem,"['detroit hip hop', 'hip hop', 'rap']",Kamikaze,2018-08-31,288086,64,0.904,0.756,10,-3.746,1,0.32,0.0692,0.0,0.339,0.342,140.005
Nothin' But A Good Time - Remastered 2006,Poison,"['album rock', 'glam metal', 'hard rock', 'rock']",Nothing But A Good Time,2009-01-01,223666,49,0.57,0.973,1,-2.771,1,0.0763,0.0182,0.0,0.203,0.557,129.073
Novocaine,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",American Beauty/American Psycho,2015-01-20,226866,60,0.536,0.974,2,-2.833,1,0.0969,0.0065,0.00102,0.357,0.481,135.997
No Way Out (feat. Shannon Saunders),Mashd N Kutcher,[],No Way Out (feat. Shannon Saunders),2015-06-25,206658,29,0.522,0.767,1,-4.574,0,0.0864,0.038,0.0,0.487,0.556,128.083
Now Or Never,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",hopeless fountain kingdom (Deluxe),2017-06-02,214801,66,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03
NUMB,Chri$tian Gate$,['sad rap'],NUMB,2021-06-04,112500,71,0.682,0.598,8,-5.694,1,0.264,0.0575,0.0,0.299,0.823,103.791
Numb Little Bug,Em Beihold,"['alt z', 'gen z singer-songwriter']",Numb Little Bug,2022-01-28,169237,76,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974
ocean eyes,Billie Eilish,"['art pop', 'electropop', 'pop']",Summer Heartbreak,2021-08-13,200386,0,0.358,0.372,4,-7.664,0,0.0464,0.81,0.0539,0.0877,0.16,144.833
Ocean (feat. Khalid),Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",Ocean (feat. Khalid),2018-06-15,216419,69,0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912
Ocean Man,Ween,['alternative rock'],The Mollusk,1997-04-18,126946,66,0.72,0.912,4,-6.13,1,0.0363,0.551,0.00122,0.0982,0.973,122.782
Oceans,Coasts,"['hopebeat', 'indie anthem-folk', 'indie poptimism', 'indie surf', 'shimmer pop']",Coasts (Deluxe),2016-03-25,223613,36,0.518,0.862,9,-4.599,1,0.0454,0.00184,0.0,0.343,0.496,127.647
Old Alabama (feat. Alabama),Brad Paisley,"['contemporary country', 'country', 'country road']",This Is Country Music,2011-05-23,301800,54,0.378,0.903,7,-4.538,1,0.0533,0.103,0.000285,0.134,0.457,115.616
ONE BEER (feat. Lauren Alaina & Devin Dawson),HARDY,"['contemporary country', 'modern country pop']",A ROCK,2020-09-04,173173,71,0.516,0.745,2,-8.352,1,0.0774,0.564,0.0,0.275,0.826,186.006
One Click Headshot - Original Mix,Feed Me,"['brostep', 'complextro', 'edm', 'electro house', 'filthstep']",Feed Me's Escape From Electric Mountain,2012-02-06,287004,0,0.677,0.91,2,-4.628,1,0.063,0.000364,0.00842,0.35,0.504,109.988
